Pokedex Number,Pokemon Name,Classification,Legendary Type,Height,Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Games of Origin,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,Catch Rate,Experience Growth Name,Experience Growth Total,Experience Yield,Base Happiness,Health Base Stat,Attack Base Stat,Defense Base Stat,Special Attack Base Stat,Special Defense Base Stat,Speed Base Stat,Primary Egg Group,Secondary Egg Group,Cycle Count,Pre-Evolution Pokedex Number,Evolution Method,Evolution Details,Original Pokemon,Form Name
65,Alakazam,Psi Pokemon,,1.5,48,Psychic,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Magic Guard,The Pokemon only takes damage from attacks.,75,25,Red / Blue / Yellow,0,0,0,3,0,0,50,Medium Slow,1059860,225,70,55,50,45,135,95,120,Human-Like,,20,64,Trade,,,
177,Natu,Tiny Bird Pokemon,,0.2,2,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,Magic Bounce,"Reflects status moves, instead of getting hit by them.",50,50,Gold / Silver / Crystal,0,0,0,1,0,0,190,Medium Fast,1000000,64,70,40,50,45,70,45,70,Flying,,20,,,,,
178,Xatu,Mystic Pokemon,,1.5,15,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,Magic Bounce,"Reflects status moves, instead of getting hit by them.",50,50,Gold / Silver / Crystal,0,0,0,1,0,1,75,Medium Fast,1000000,165,70,65,75,70,95,70,95,Flying,,20,177,Level Up,Level 25,,
280,Ralts,Feeling Pokemon,,0.4,6.6,Psychic,Fairy,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Trace,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,50,50,Ruby / Sapphire,0,0,0,1,0,0,235,Slow,1250000,40,35,28,25,25,45,35,40,Amorphous,,20,,,,,
281,Kirlia,Emotion Pokemon,,0.8,20.2,Psychic,Fairy,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Trace,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,50,50,Ruby / Sapphire,0,0,0,2,0,0,120,Slow,1250000,97,35,38,35,35,65,55,50,Amorphous,,20,280,Level Up,Level 20,,
282,Gardevoir,Embrace Pokemon,,1.6,48.4,Psychic,Fairy,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Trace,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,50,50,Ruby / Sapphire,0,0,0,3,0,0,45,Slow,1250000,233,35,68,65,65,125,115,80,Amorphous,,20,281,Level Up,Level 30,,
789,Cosmog,Nebula Pokemon,Legendary,0.2,0.1,Psychic,,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,,,,,0,0,Sun / Moon,1,0,0,0,0,0,45,Slow,1250000,40,0,43,29,31,29,31,37,Undiscovered,,120,,,,,
475,Gallade,Blade Pokemon,,1.6,52,Psychic,Fighting,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,,,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokemon, for justice.",100,0,Diamond / Pearl,0,3,0,0,0,0,45,Slow,1250000,233,35,68,125,65,65,115,80,Amorphous,,20,281,Evolutionary Stone,Dawn Stone (Male Kirlia),,
448,Lucario,Aura Pokemon,,1.2,54,Fighting,Steel,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokemon, for justice.",87.5,12.5,Diamond / Pearl,0,1,0,1,0,0,45,Medium Slow,1059860,184,70,70,110,70,115,70,90,Field,Human-Like,25,447,Level Up With High Friendship,During Day,,
447,Riolu,Emanation Pokemon,,0.7,20.2,Fighting,,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Prankster,Gives priority to a status move.,87.5,12.5,Diamond / Pearl,0,1,0,0,0,0,75,Medium Slow,1059860,57,70,40,70,40,35,40,60,Undiscovered,,25,,,,,
96,Drowzee,Hypnosis Pokemon,,1,32.4,Psychic,,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Forewarn,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",50,50,Red / Blue / Yellow,0,0,0,0,1,0,190,Medium Fast,1000000,66,70,60,48,45,43,90,42,Human-Like,,20,,,,,
97,Hypno,Hypnosis Pokemon,,1.6,75.6,Psychic,,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Forewarn,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",50,50,Red / Blue / Yellow,0,0,0,0,2,0,75,Medium Fast,1000000,169,70,85,73,70,73,115,67,Human-Like,,20,96,Level Up,Level 26,,
353,Shuppet,Puppet Pokemon,,0.6,2.3,Ghost,,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Frisk,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",Cursed Body,May disable a move used on the Pokemon.,50,50,Ruby / Sapphire,0,1,0,0,0,0,225,Fast,800000,59,35,44,75,35,63,33,45,Amorphous,,25,,,,,
354,Banette,Marionette Pokemon,,1.1,12.5,Ghost,,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Frisk,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",Cursed Body,May disable a move used on the Pokemon.,50,50,Ruby / Sapphire,0,2,0,0,0,0,45,Fast,800000,159,35,64,115,65,83,63,65,Amorphous,,25,353,Level Up,Level 37,,
163,Hoothoot,Owl Pokemon,,0.7,21.2,Normal,Flying,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Tinted Lens,"The Pokemon can use not very effective"" moves to deal regular damage.""",50,50,Gold / Silver / Crystal,1,0,0,0,0,0,255,Medium Fast,1000000,52,70,60,30,30,36,56,50,Flying,,15,,,,,
164,Noctowl,Owl Pokemon,,1.6,40.8,Normal,Flying,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Tinted Lens,"The Pokemon can use not very effective"" moves to deal regular damage.""",50,50,Gold / Silver / Crystal,2,0,0,0,0,0,90,Medium Fast,1000000,158,70,100,50,50,86,96,70,Flying,,15,163,Level Up,Level 20,,
198,Murkrow,Darkness Pokemon,,0.5,2.1,Dark,Flying,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Super Luck,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,Prankster,Gives priority to a status move.,50,50,Gold / Silver / Crystal,0,0,0,0,0,1,30,Medium Slow,1059860,81,35,60,85,42,85,42,91,Flying,,20,,,,,
430,Honchkrow,Big Boss Pokemon,,0.9,27.3,Dark,Flying,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Super Luck,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",50,50,Diamond / Pearl,0,2,0,0,0,0,30,Medium Slow,1059860,177,35,100,125,52,105,52,71,Flying,,20,198,Evolutionary Stone,Dusk Stone,,
720,Hoopa,Mischief Pokemon,Mythical,0.5,9,Psychic,Ghost,Magician,The Pokemon steals the held item of a Pokemon it hits with a move.,,,,,0,0,X / Y,0,0,0,3,0,0,3,Slow,1250000,270,100,80,110,60,150,130,70,Undiscovered,,120,,,,,
800,Necrozma,Prism Pokemon,Legendary,2.4,230,Psychic,,Prism Armor,Reduces the power of supereffective attacks taken.,,,,,0,0,Sun / Moon,0,1,0,2,0,0,255,Slow,1250000,270,0,97,107,101,127,89,79,Undiscovered,,120,,,,,
772,Type: Null,Synthetic Pokemon,Legendary,1.9,120.5,Normal,,Battle Armor,Hard armor protects the Pokemon from critical hits.,,,,,0,0,Sun / Moon,2,0,0,0,0,0,3,Slow,1250000,107,0,95,95,95,95,95,59,Undiscovered,,120,,,,,
347,Anorith,Old Shrimp Pokemon,,0.7,12.5,Rock,Bug,Battle Armor,Hard armor protects the Pokemon from critical hits.,,,Swift Swim,Boosts the Pokemon's Speed stat in rain.,87.5,12.5,Ruby / Sapphire,0,1,0,0,0,0,45,Erratic,600000,71,70,45,95,50,40,50,75,Water 3,,30,,,,,
348,Armaldo,Plate Pokemon,,1.5,68.2,Rock,Bug,Battle Armor,Hard armor protects the Pokemon from critical hits.,,,Swift Swim,Boosts the Pokemon's Speed stat in rain.,87.5,12.5,Ruby / Sapphire,0,2,0,0,0,0,45,Erratic,600000,173,70,75,125,100,70,80,45,Water 3,,30,347,Level Up,Level 40,,
451,Skorupi,Scorpion Pokemon,,0.8,12,Poison,Bug,Battle Armor,Hard armor protects the Pokemon from critical hits.,Sniper,Powers up moves if they become critical hits when attacking.,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,50,50,Diamond / Pearl,0,0,1,0,0,0,120,Slow,1250000,66,70,40,50,90,30,55,65,Bug,Water 3,20,,,,,
452,Drapion,Ogre Scorpion Pokemon,,1.3,61.5,Poison,Dark,Battle Armor,Hard armor protects the Pokemon from critical hits.,Sniper,Powers up moves if they become critical hits when attacking.,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,50,50,Diamond / Pearl,0,0,2,0,0,0,45,Slow,1250000,175,70,70,90,110,60,75,95,Bug,Water 3,20,451,Level Up,Level 40,,
773,Silvally,Synthetic Pokemon,Legendary,2.3,100.5,Normal,,RKS System,Changes the Pokemon's type to match the memory disc it holds.,,,,,0,0,Sun / Moon,3,0,0,0,0,0,3,Slow,1250000,257,0,95,95,95,95,95,95,Undiscovered,,120,772,Level Up With High Friendship,,,
785,Tapu Koko,Land Spirit Pokemon,Legendary,1.8,20.5,Electric,Fairy,Electric Surge,Turns the ground into Electric Terrain when the Pokemon enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.,0,0,Sun / Moon,0,0,0,0,0,3,3,Slow,1250000,257,70,70,115,85,95,75,130,Undiscovered,,15,,,,,
786,Tapu Lele,Land Spirit Pokemon,Legendary,1.2,18.6,Psychic,Fairy,Psychic Surge,Turns the ground into Psychic Terrain when the Pokemon enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.,0,0,Sun / Moon,0,0,0,3,0,0,3,Slow,1250000,257,70,70,85,75,130,115,95,Undiscovered,,15,,,,,
787,Tapu Bulu,Land Spirit Pokemon,Legendary,1.9,45.5,Grass,Fairy,Grassy Surge,Turns the ground into Grassy Terrain when the Pokemon enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.,0,0,Sun / Moon,0,3,0,0,0,0,3,Slow,1250000,257,70,70,130,115,85,95,75,Undiscovered,,15,,,,,
788,Tapu Fini,Land Spirit Pokemon,Legendary,1.3,21.2,Water,Fairy,Misty Surge,Turns the ground into Misty Terrain when the Pokemon enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.,0,0,Sun / Moon,0,0,0,0,3,0,3,Slow,1250000,257,70,70,75,115,95,130,85,Undiscovered,,15,,,,,
605,Elgyem,Cerebral Pokemon,,0.5,9,Psychic,,Telepathy,Anticipates an ally's attack and dodges it.,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Analytic,Boosts move power when the Pokemon moves last.,50,50,Black / White,0,0,0,1,0,0,255,Medium Fast,1000000,67,70,55,55,55,85,55,30,Human-Like,,20,,,,,
606,Beheeyem,Cerebral Pokemon,,1,34.5,Psychic,,Telepathy,Anticipates an ally's attack and dodges it.,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Analytic,Boosts move power when the Pokemon moves last.,50,50,Black / White,0,0,0,2,0,0,90,Medium Fast,1000000,170,70,75,75,75,125,95,40,Human-Like,,20,605,Level Up,Level 42,,
527,Woobat,Bat Pokemon,,0.4,2.1,Psychic,Flying,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",Klutz,The Pokemon can't use any held items.,Simple,The stat changes the Pokemon receives are doubled.,50,50,Black / White,0,0,0,0,0,1,190,Medium Fast,1000000,65,70,65,45,43,55,43,72,Field,Flying,15,,,,,
528,Swoobat,Courting Pokemon,,0.9,10.5,Psychic,Flying,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",Klutz,The Pokemon can't use any held items.,Simple,The stat changes the Pokemon receives are doubled.,50,50,Black / White,0,0,0,0,0,2,45,Medium Fast,1000000,149,70,67,57,55,77,55,114,Field,Flying,15,527,Level Up With High Friendship,,,
790,Cosmoem,Protostar Pokemon,Legendary,0.1,999.9,Psychic,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",,,,,0,0,Sun / Moon,0,0,1,0,1,0,45,Slow,1250000,140,0,43,29,131,29,131,37,Undiscovered,,120,789,Level Up,Level 43,,
232,Donphan,Armor Pokemon,,1.1,120,Ground,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",,,Sand Veil,Boosts the Pokemon's evasion in a sandstorm.,50,50,Gold / Silver / Crystal,0,1,1,0,0,0,60,Medium Fast,1000000,175,70,90,120,120,60,60,50,Field,,20,231,Level Up,Level 25,,
204,Pineco,Bagworm Pokemon,,0.6,7.2,Bug,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",,,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",50,50,Gold / Silver / Crystal,0,0,1,0,0,0,190,Medium Fast,1000000,58,70,50,65,90,35,35,15,Bug,,20,,,,,
205,Forretress,Bagworm Pokemon,,1.2,125.8,Bug,Steel,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",,,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",50,50,Gold / Silver / Crystal,0,0,2,0,0,0,75,Medium Fast,1000000,163,70,75,90,140,60,60,40,Bug,,20,204,Level Up,Level 31,,
410,Shieldon,Shield Pokemon,,0.5,57,Rock,Steel,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",,,Soundproof,Soundproofing of the Pokemon itself gives full immunity to all sound-based moves.,87.5,12.5,Diamond / Pearl,0,0,1,0,0,0,45,Erratic,600000,70,70,30,42,118,42,88,30,Monster,,30,,,,,
411,Bastiodon,Shield Pokemon,,1.3,149.5,Rock,Steel,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",,,Soundproof,Soundproofing of the Pokemon itself gives full immunity to all sound-based moves.,87.5,12.5,Diamond / Pearl,0,0,2,0,0,0,45,Erratic,600000,173,70,60,52,168,47,138,30,Monster,,30,410,Level Up,Level 30,,
539,Sawk,Karate Pokemon,,1.4,41,Fighting,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,100,0,Black / White,0,2,0,0,0,0,45,Medium Fast,1000000,163,70,75,125,75,30,75,85,Human-Like,,20,,,,,
557,Dwebble,Rock Inn Pokemon,,0.3,14.5,Bug,Rock,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Shell Armor,A hard shell protects the Pokemon from critical hits.,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,50,50,Black / White,0,0,1,0,0,0,190,Medium Fast,1000000,65,70,50,65,85,35,35,55,Bug,Mineral,20,,,,,
558,Crustle,Stone Home Pokemon,,1.4,200,Bug,Rock,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Shell Armor,A hard shell protects the Pokemon from critical hits.,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,50,50,Black / White,0,0,2,0,0,0,75,Medium Fast,1000000,170,70,70,105,125,65,75,45,Bug,Mineral,20,557,Level Up,Level 34,,
526,Gigalith,Compressed Pokemon,,1.7,260,Rock,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Sand Stream,The Pokemon summons a sandstorm when it enters a battle.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50,50,Black / White,0,3,0,0,0,0,45,Medium Slow,1059860,232,70,85,135,130,60,80,25,Mineral,,15,525,Trade,,,
304,Aron,Iron Armor Pokemon,,0.4,60,Steel,Rock,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokemon from recoil damage.,Heavy Metal,Doubles the Pokemon's weight.,50,50,Ruby / Sapphire,0,0,1,0,0,0,180,Slow,1250000,66,35,50,70,100,40,40,30,Monster,,35,,,,,
305,Lairon,Iron Armor Pokemon,,0.9,120,Steel,Rock,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokemon from recoil damage.,Heavy Metal,Doubles the Pokemon's weight.,50,50,Ruby / Sapphire,0,0,2,0,0,0,90,Slow,1250000,151,35,60,90,140,50,50,40,Monster,,35,304,Level Up,Level 32,,
306,Aggron,Iron Armor Pokemon,,2.1,360,Steel,Rock,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokemon from recoil damage.,Heavy Metal,Doubles the Pokemon's weight.,50,50,Ruby / Sapphire,0,0,3,0,0,0,45,Slow,1250000,239,35,70,110,180,60,60,50,Monster,,35,305,Level Up,Level 42,,
185,Sudowoodo,Imitation Pokemon,,1.2,38,Rock,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokemon from recoil damage.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",50,50,Gold / Silver / Crystal,0,0,2,0,0,0,65,Medium Fast,1000000,144,70,70,100,115,30,65,30,Mineral,,20,438,Level Up,Knowing Mimic,,
438,Bonsly,Bonsai Pokemon,,0.5,15,Rock,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokemon from recoil damage.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",50,50,Diamond / Pearl,0,0,1,0,0,0,255,Medium Fast,1000000,58,70,50,80,95,10,45,10,Undiscovered,,20,,,,,
213,Shuckle,Mold Pokemon,,0.6,20.5,Bug,Rock,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Contrary,Makes stat changes have an opposite effect.,50,50,Gold / Silver / Crystal,0,0,1,0,1,0,190,Medium Slow,1059860,177,70,20,10,230,10,230,5,Bug,,20,,,,,
299,Nosepass,Compass Pokemon,,1,97,Rock,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Magnet Pull,Prevents Steel-type Pokemon from escaping using its magnetic force.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50,50,Ruby / Sapphire,0,0,1,0,0,0,255,Medium Fast,1000000,75,70,30,45,135,45,90,30,Mineral,,20,,,,,
476,Probopass,Compass Pokemon,,1.4,340,Rock,Steel,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Magnet Pull,Prevents Steel-type Pokemon from escaping using its magnetic force.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50,50,Diamond / Pearl,0,0,1,0,2,0,60,Medium Fast,1000000,184,70,60,55,145,75,150,40,Mineral,,20,299,Level Up,In A Special Magnetic Field,,
524,Roggenrola,Mantle Pokemon,,0.4,18,Rock,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50,50,Black / White,0,0,1,0,0,0,255,Medium Slow,1059860,56,70,55,75,85,25,25,15,Mineral,,15,,,,,
525,Boldore,Ore Pokemon,,0.9,102,Rock,,Sturdy,"It cannot be knocked out with one hit.  One-hit KO moves cannot knock it out, either.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50,50,Black / White,0,1,1,0,0,0,120,Medium Slow,1059860,137,70,70,105,105,50,40,20,Mineral,,15,524,Level Up,Level 25,,
791,Solgaleo,Sunne Pokemon,Legendary,3.4,230,Psychic,Steel,Full Metal Body,Prevents other Pokemon's moves or Abilities from lowering the Pokemon's stats.,,,,,0,0,Sun / Moon,0,3,0,0,0,0,45,Slow,1250000,306,0,137,137,107,113,89,97,Undiscovered,,120,790,Level Up,Level 53,,
807,Zeraora,Thunderclap Pokemon,Mythical,1.5,44.5,Electric,,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",,,,,0,0,Ultra Sun / Ultra Moon,0,0,0,0,0,3,3,Slow,1250000,270,0,88,112,75,102,80,143,Undiscovered,,120,,,,,
135,Jolteon,Lightning Pokemon,,0.8,24.5,Electric,,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",,,Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,87.5,12.5,Red / Blue / Yellow,0,0,0,0,0,2,45,Medium Fast,1000000,184,70,65,65,60,110,95,130,Field,,35,133,Evolutionary Stone,Thunder Stone,,
170,Chinchou,Angler Pokemon,,0.5,12,Water,Electric,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",Illuminate,Raises the likelihood of meeting wild Pokemon by illuminating the surroundings.,Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage.",50,50,Gold / Silver / Crystal,1,0,0,0,0,0,190,Slow,1250000,66,70,75,38,38,56,56,67,Water 2,,20,,,,,
171,Lanturn,Light Pokemon,,1.2,22.5,Water,Electric,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",Illuminate,Raises the likelihood of meeting wild Pokemon by illuminating the surroundings.,Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage.",50,50,Gold / Silver / Crystal,2,0,0,0,0,0,75,Slow,1250000,161,70,125,58,58,76,76,67,Water 2,,20,170,Level Up,Level 27,,
149,Dragonite,Dragon Pokemon,,2.2,210,Dragon,Flying,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,Multiscale,Reduces the amount of damage the Pokemon takes when its HP is full.,50,50,Red / Blue / Yellow,0,3,0,0,0,0,45,Slow,1250000,270,35,91,134,95,100,100,80,Water 1,Dragon,40,148,Level Up,Level 55,,
169,Crobat,Bat Pokemon,,1.8,75,Poison,Flying,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",50,50,Gold / Silver / Crystal,0,0,0,0,0,3,90,Medium Fast,1000000,241,70,85,90,80,70,80,130,Flying,,15,42,Level Up With High Friendship,,,
41,Zubat,Bat Pokemon,,0.8,7.5,Poison,Flying,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",50,50,Red / Blue / Yellow,0,0,0,0,0,1,255,Medium Fast,1000000,49,70,40,45,35,30,40,55,Flying,,15,,,,,
42,Golbat,Bat Pokemon,,1.6,55,Poison,Flying,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",,,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",50,50,Red / Blue / Yellow,0,0,0,0,0,2,90,Medium Fast,1000000,159,70,75,80,70,65,75,90,Flying,,15,41,Level Up,Level 22,,
765,Oranguru,Sage Pokemon,,1.5,76,Normal,Psychic,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Telepathy,Anticipates an ally's attack and dodges it.,Symbiosis,The Pokemon passes its item to an ally that has used up an item.,50,50,Sun / Moon,0,0,0,0,2,0,45,Slow,1250000,172,70,90,60,80,90,110,60,Field,,20,,,,,
619,Mienfoo,Martial Arts Pokemon,,0.9,20,Fighting,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Regenerator,Restores a little HP when withdrawn from battle.,Reckless,Powers up moves that have recoil damage.,50,50,Black / White,0,1,0,0,0,0,180,Medium Slow,1059860,70,70,45,85,50,55,50,65,Field,Human-Like,25,,,,,
620,Mienshao,Martial Arts Pokemon,,1.4,35.5,Fighting,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Regenerator,Restores a little HP when withdrawn from battle.,Reckless,Powers up moves that have recoil damage.,50,50,Black / White,0,2,0,0,0,0,45,Medium Slow,1059860,179,70,65,125,60,95,60,105,Field,Human-Like,25,619,Level Up,Level 50,,
361,Snorunt,Snow Hat Pokemon,,0.7,16.8,Ice,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Ice Body,The Pokemon gradually regains HP in a hailstorm.,Moody,Raises one stat sharply and lowers another every turn.,50,50,Ruby / Sapphire,1,0,0,0,0,0,190,Medium Fast,1000000,60,70,50,50,50,50,50,50,Fairy,Mineral,20,,,,,
362,Glalie,Face Pokemon,,1.5,256.5,Ice,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Ice Body,The Pokemon gradually regains HP in a hailstorm.,Moody,Raises one stat sharply and lowers another every turn.,50,50,Ruby / Sapphire,2,0,0,0,0,0,75,Medium Fast,1000000,168,70,80,80,80,80,80,80,Fairy,Mineral,20,361,Level Up,Level 42,,
203,Girafarig,Long Neck Pokemon,,1.5,41.5,Normal,Psychic,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",50,50,Gold / Silver / Crystal,0,0,0,2,0,0,60,Medium Fast,1000000,159,70,70,80,65,90,65,85,Field,,20,,,,,
215,Sneasel,Sharp Claw Pokemon,,0.9,28,Dark,Ice,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Pickpocket,Steals an item from an attacker that made direct contact.,50,50,Gold / Silver / Crystal,0,0,0,0,0,1,60,Medium Slow,1059860,86,35,55,95,55,35,75,115,Field,,20,,,,,
251,Celebi,Time Travel Pokemon,Mythical,0.6,5,Psychic,Grass,Natural Cure,All status conditions heal when the Pokemon switches out.,,,,,0,0,Gold / Silver / Crystal,3,0,0,0,0,0,45,Medium Slow,1059860,270,100,100,100,100,100,100,100,Undiscovered,,120,,,,,
